transaction_id,truck_id,payment_method_id,total,at,truck_name,truck_description,has_card_reader,fsa_rating,payment_method
1,1,2,700.0,2026-01-04 09:04:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
2,1,1,700.0,2026-01-04 09:22:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
3,1,1,700.0,2026-01-04 09:26:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
4,1,2,869.0,2026-01-04 09:41:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
5,1,1,700.0,2026-01-04 09:56:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
6,1,1,969.0,2026-01-04 10:15:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
7,1,2,700.0,2026-01-04 10:18:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
8,1,2,700.0,2026-01-04 10:21:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
9,1,1,700.0,2026-01-04 10:25:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
10,1,2,700.0,2026-01-04 10:39:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
11,1,2,700.0,2026-01-04 10:52:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
12,1,1,1010.0,2026-01-04 11:04:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
13,1,1,700.0,2026-01-04 11:10:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
14,1,2,700.0,2026-01-04 11:16:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
15,1,2,700.0,2026-01-04 11:17:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
16,1,1,700.0,2026-01-04 11:23:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
17,1,1,700.0,2026-01-04 11:29:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
18,1,1,700.0,2026-01-04 11:30:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
19,1,2,700.0,2026-01-04 11:35:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
20,1,2,700.0,2026-01-04 11:39:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
21,1,1,830.0,2026-01-04 11:44:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
22,1,2,910.0,2026-01-04 11:47:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
23,1,2,700.0,2026-01-04 11:53:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
24,1,1,700.0,2026-01-04 12:00:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
25,1,1,700.0,2026-01-04 12:02:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
26,1,2,990.0,2026-01-04 12:04:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
27,1,1,700.0,2026-01-04 12:05:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
28,1,2,1010.0,2026-01-04 12:07:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
29,1,1,700.0,2026-01-04 12:09:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
30,1,1,700.0,2026-01-04 12:11:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
31,1,2,940.0,2026-01-04 12:13:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
32,1,1,700.0,2026-01-04 12:13:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
33,1,2,700.0,2026-01-04 12:13:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
34,1,1,700.0,2026-01-04 12:13:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
35,1,1,700.0,2026-01-04 12:15:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
36,1,1,700.0,2026-01-04 12:17:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
37,1,1,700.0,2026-01-04 12:17:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
38,1,1,700.0,2026-01-04 12:18:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
39,1,1,700.0,2026-01-04 12:20:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
40,1,1,700.0,2026-01-04 12:21:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
41,1,2,700.0,2026-01-04 12:23:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
42,1,1,900.0,2026-01-04 12:24:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
43,1,2,700.0,2026-01-04 12:25:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
44,1,1,700.0,2026-01-04 12:27:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
45,1,1,1100.0,2026-01-04 12:27:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
46,1,2,700.0,2026-01-04 12:27:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
47,1,2,1070.0,2026-01-04 12:29:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
48,1,1,700.0,2026-01-04 12:31:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
49,1,2,700.0,2026-01-04 12:33:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
50,1,1,700.0,2026-01-04 12:36:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
51,1,2,800.0,2026-01-04 12:38:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
52,1,1,700.0,2026-01-04 12:39:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
53,1,2,840.0,2026-01-04 12:41:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
54,1,1,700.0,2026-01-04 12:43:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
55,1,1,1000.0,2026-01-04 12:43:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
56,1,1,700.0,2026-01-04 12:43:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
57,1,1,700.0,2026-01-04 12:46:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
58,1,1,700.0,2026-01-04 12:48:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
59,1,2,700.0,2026-01-04 12:48:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
60,1,2,800.0,2026-01-04 12:48:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
61,1,2,840.0,2026-01-04 12:49:00,Burrito Madness,An authentic taste of Mexico.,1,4,card
62,1,1,700.0,2026-01-04 12:49:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
63,1,1,700.0,2026-01-04 12:51:00,Burrito Madness,An authentic taste of Mexico.,1,4,cash
